SRC_ID,Segment,8_name,12_code,TotDASqKm,slope,length,wbody,s_order,Stream Type,Bedform,Ph2SedReg,Class,ElevDS_m,L_m,DA      _sqkm,W_reg      _m,W_Ph2      _m,W_rat,D_reg     _m,D_mn     _m,D_rat,V_mps,Rh_m,D95_mm,D84_mm,D95toD50,D84toD50,TSP,SSPup,SSPcr_Soar_D84,SSPcr_Lea_D84,logValue_Lea,tau_cr_D84,S,VC,VC_rat,ER,WtoD,IR,d50_mm,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal,SSPcr_rat_Soar,SSP_exc_Soar,SSPcr_rat_Lea,SSP_exc_Lea,RR,SSPtoD50,SSPfrXSsprdsht,Differen_SSP,RPD_SSP
105,21_M11B,champlain,0401,64.3,0.002,1832.7,FALSE,1,E5,Dune Ripple,CEFD,5,79.2,1832.7,64.3,16.4,10.0,0.6,0.767,0.866,1.128,2.51,0.78,2.0,0.8,11.2,4.3,305.4,12.0,0.1,0.1,1370.1,0.4,0.200,103.7,1.0,112.2,11.7,1.1,0.2,0.7,0.0,1.1,0,18.6,1.56,198.41,18.51873346,128.63,18.5,1022.60,104037.6,38.6,19.9,107.1
106,21_M12A,champlain,0401,31.8,0.002,1179.2,FALSE,1,E5,Dune Ripple,CEFD,5,82.3,1179.2,31.8,12.0,7.8,0.6,0.621,0.652,1.050,1.25,0.58,26.5,17.8,37.5,25.2,144.0,17.6,4.3,20.2,8051.6,9.3,0.200,99.3,19.5,97.7,12.2,1.0,0.7,17.7,5.9,5.1,0.03,12.0,0.68,2.76,7.622304664,0.59,-8.2,32.38,16905.7,14.1,2.2,18.1
107,21_M12B,champlain,0401,30.8,0.003,192.6,FALSE,1,C4,Plane Bed,UST,3,84.7,192.6,30.8,11.9,11.9,1.0,0.615,0.460,0.748,0.90,0.44,180.0,59.2,3.9,1.3,208.5,81.9,109.0,92.3,303.7,34.7,0.300,5.1,0.5,2.4,26.1,1.7,46.6,52.8,10.4,5.2,0.01,17.6,0.21,0.16,-91.46966759,0.19,-74.8,7.51,376.8,11.9,-5.7,-32.5
108,21_M13A,champlain,0401,30.8,0.014,333.7,FALSE,1,C4,Riffle Pool,UST,3,85.3,333.7,30.8,11.9,10.5,0.9,0.615,0.603,0.981,2.01,0.57,162.5,104.7,3.2,2.0,970.9,70.0,145.4,368.2,160.9,94.4,1.400,9.9,3.4,8.4,17.4,1.6,51.3,79.1,12.0,9.0,0,81.9,1.17,0.56,-63.5608719,0.22,-286.3,5.47,1596.7,158.3,76.4,93.3
109,21_M13B,champlain,0401,30.7,0.012,940.3,FALSE,1,B3c,Riffle Pool,TR,1,89.9,940.3,30.7,11.8,10.6,0.9,0.614,0.509,0.829,1.35,0.48,332.0,160.7,3.8,1.8,829.3,2.6,304.2,655.9,160.4,138.8,1.200,2.9,0.0,2.2,20.8,1.1,88.2,130.6,5.3,3.2,0,70.0,26.57,0.23,-234.2008097,0.11,-585.9,2.96,793.8,75.3,5.3,7.5
110,21_T2.01B,champlain,0402,22.9,0.002,533.1,FALSE,1,C4,Dune Ripple,CEFD,5,49.4,533.1,22.9,10.4,8.1,0.8,0.563,0.500,0.888,0.96,0.48,48.3,29.1,3.9,2.3,101.2,48.4,29.8,31.1,748.1,15.2,0.200,56.9,3.3,71.2,16.3,1.0,12.5,29.1,15.0,3.8,0.03,9.7,0.20,0.33,-20.07375306,0.31,-21.4,16.53,779.2,9.1,-0.6,-6.7
111,23_T2.01-,hudsonhoosic,0202,138.4,0.01183152,644,FALSE,1,F3,Plane Bed,FSTCD,4,189.0,644.0,138.4,23.0,28.6,1.2,0.966,0.805,0.833,1.75,0.79,2989.0,245.2,16.3,1.3,4103.6,169.7,671.4,1157.6,119.2,211.1,1.183,6.9,1.5,1.2,35.6,2.3,183.1,232.5,7.8,1.6,0,178.5,1.05,0.27,-492.8775039,0.15,-979.1,3.22,974.7,160.1,-18.4,-10.3
112,23_T2.02-,hudsonhoosic,0202,138.3,0.011261262,947.3,FALSE,1,D3,Plane Bed,FSTCD,4,196.6,947.3,138.3,23.0,30.1,1.3,0.965,0.549,0.568,1.16,0.54,3251.0,253.8,17.3,1.3,3900.4,143.3,712.5,1204.1,124.4,215.4,1.126,4.6,0.5,3.0,54.9,1.0,188.1,241.0,8.4,0.0,0,169.7,1.18,0.24,-542.7629291,0.14,-1034.4,2.13,902.4,69.0,-100.8,-59.4
113,23_T2.03A,hudsonhoosic,0202,67.0,0.015,496.5,FALSE,1,C3,Riffle Pool,FSTCD,4,207.3,496.5,67.0,16.7,27.4,1.6,0.777,0.433,0.557,0.90,0.43,420.7,320.8,3.8,2.9,2394.8,171.7,643.1,2154.8,217.7,295.1,1.500,8.9,1.5,4.4,64.2,1.7,110.5,319.0,22.2,6.0,0,143.3,0.83,0.22,-499.7557362,0.07,-2011.5,1.33,1296.5,56.2,-87.1,-60.8
114,23_T2.03B,hudsonhoosic,0202,66.9,0.018,240.8,FALSE,1,F3,Plane Bed,UST,3,214.9,240.8,66.9,16.7,20.5,1.2,0.776,0.521,0.671,1.28,0.51,423.1,293.2,3.3,2.3,2867.7,209.8,602.8,1893.9,150.7,283.8,1.800,6.1,4.9,1.3,39.6,2.0,128.0,245.7,16.6,4.2,0,171.7,0.82,0.28,-431.098538,0.09,-1722.2,1.74,1341.8,114.6,-57.1,-33.2
